Not Bound Resource Budget Analysis Report

Resource Summary: 
  MIPS capacity 10.000 MIPS : MIPS budget 8.000 MIPS
  1 out of 1 with MIPS capacity
  9 out of 9 with MIPS budget



Detailed Processor MIPS Capacity Report 

Component,Capacity
processor this_processor, 10.000 MIPS,
Total, 10.000 MIPS,


Detailed MIPS Budget Report 

Component,Budget,Actual,Notes
device this_motion_sensor, 1.000 MIPS,0.000 MIPS,device SecuritySystem_with_devices_Instance.this_motion_sensor total 0.000 MIPS below budget 1.000 MIPS (100.0 % slack)
device this_magnetic_alarm_sensor, 1.000 MIPS,0.000 MIPS,device SecuritySystem_with_devices_Instance.this_magnetic_alarm_sensor total 0.000 MIPS below budget 1.000 MIPS (100.0 % slack)
device this_camera, 1.000 MIPS,0.000 MIPS,device SecuritySystem_with_devices_Instance.this_camera total 0.000 MIPS below budget 1.000 MIPS (100.0 % slack)
device this_alarm_unit, 1.000 MIPS,0.000 MIPS,device SecuritySystem_with_devices_Instance.this_alarm_unit total 0.000 MIPS below budget 1.000 MIPS (100.0 % slack)
  thread this_controller.this_thread_motion,   0.300 MIPS,  1.000 MIPS,Error: subtotal/actual exceeds budget 0.300 by 0.700 MIPS
  thread this_controller.this_thread_magnetic,   0.500 MIPS,  1.000 MIPS,Error: subtotal/actual exceeds budget 0.500 by 0.500 MIPS
  thread this_controller.this_thread_control,   0.500 MIPS,  1.000 MIPS,Error: subtotal/actual exceeds budget 0.500 by 0.500 MIPS
  thread this_controller.this_thread_video,   0.500 MIPS,  1.000 MIPS,Error: subtotal/actual exceeds budget 0.500 by 0.500 MIPS
process this_controller, 5.000 MIPS,4.000 MIPS,process SecuritySystem_with_devices_Instance.this_controller total 4.000 MIPS below budget 5.000 MIPS (20.0 % slack)
Total, ,8.000 MIPS,
